#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-08-30 13:10:10.562
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: -2 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -2 V

#2,4kHz
#raw
#
Time (s),Channel 1 (V),Channel 2 (V)
-0.005119500000000001,-0.6201505866003089,1.287136055220571
-0.00511825,-0.614510923867376,1.291437556937921
-0.005117,-0.6101982406010128,1.296731712897739
-0.005115750000000001,-0.6038950881347968,1.302687638352528
-0.0051145,-0.5989189151351502,1.307650909564855
-0.005113250000000001,-0.5942744870021467,1.311621526534716
-0.005112,-0.5892983140025002,1.317577451989508
-0.005110750000000001,-0.5829951615362841,1.323202492696809
-0.0051095,-0.5776872436699916,1.328165763909138
-0.00510825,-0.5717158360704137,1.334452574111421
-0.005107,-0.5674031528040553,1.339415845323746
-0.00510575,-0.5607682554711911,1.347026194515981
-0.005104500000000001,-0.5561238273381898,1.350335041990864
-0.00510325,-0.5521428889384725,1.354636543708214
-0.005102000000000001,-0.5448445018723242,1.36191600815296
-0.00510075,-0.5392048391393915,1.366879279365287
-0.005099500000000001,-0.5332334315398183,1.371842550577611
-0.00509825,-0.5282572585401691,1.379122015022359
-0.005097,-0.5229493406738766,1.384085286234688
-0.00509575,-0.5166461882076605,1.388717672699524
-0.0050945,-0.510011290874796,1.396328021891761
-0.005093250000000001,-0.5047033730085088,1.401622177851574
-0.005092,-0.4977367308090036,1.407908988053854
-0.005090750000000001,-0.4904383437428586,1.415850221993573
-0.0050895,-0.483139956676707,1.423460571185811
-0.005088250000000001,-0.4775002939437768,1.428754727145624
-0.005087,-0.4692066722776967,1.436695961085349
-0.00508575,-0.4645622441446914,1.442651886540143
-0.0050845,-0.460581305744976,1.446953388257491
-0.00508325,-0.4522876840788984,1.454232852702237
-0.005082000000000001,-0.4469797662126087,1.460188778157029
-0.00508075,-0.4413401034796759,1.465152049369356
-0.005079500000000001,-0.4347052061468169,1.471438859571633
-0.00507825,-0.4290655434138811,1.477725669773916
-0.005077000000000001,-0.422762390947665,1.484343364723682
-0.00507575,-0.4167909833480863,1.490961059673454
-0.0050745,-0.4104878308818644,1.497578754623226
-0.005073250000000001,-0.4038529335490053,1.503534680078015
-0.005072,-0.3985450156827156,1.509821490280296
-0.005070750000000001,-0.3905831388832811,1.516108300482576
-0.0050695,-0.3849434761503484,1.522725995432345
-0.005068250000000001,-0.3796355582840611,1.528351036139646
-0.005067,-0.3720054263512673,1.535299615836906
-0.00506575,-0.3673609982182608,1.541586426039189
-0.0050645,-0.3607261008854018,1.54721146674649
-0.00506325,-0.3537594586858934,1.555483585433704
-0.005062000000000001,-0.3467928164863914,1.561439510888493
-0.00506075,-0.3414848986201018,1.567064551595797
-0.005059500000000001,-0.3345182564205966,1.57500578553552
-0.00505825,-0.3278833590877345,1.581623480485289
-0.005057000000000001,-0.3222436963548043,1.586586751697613
-0.00505575,-0.3156087990219397,1.594527985637338
-0.0050545,-0.3073151773558596,1.601807450082087
-0.00505325,-0.3016755146229294,1.608094260284364
-0.005052,-0.2950406172900643,1.615042839981625
-0.005050750000000001,-0.2884057199572052,1.621660534931391
-0.0050495,-0.2817708226243431,1.628939999376136
-0.005048250000000001,-0.2728137112249834,1.637873887558321
-0.005047,-0.2638565998256155,1.646146006245536
-0.005045750000000001,-0.2572217024927564,1.653756355437767
-0.0050445,-0.2495915705599621,1.662028474124981
-0.00504325,-0.24229318349381,1.669969708064707
-0.005042,-0.2339995618277362,1.677580057256938
-0.00504075,-0.2286916439614466,1.682874213216753
-0.005039500000000001,-0.2223884914952276,1.689491908166522
-0.00503825,-0.2164170838956517,1.696109603116291
-0.005037000000000001,-0.2094504416961497,1.703058182813546
-0.00503575,-0.2028155443632845,1.710006762510806
-0.005034500000000001,-0.1955171572971395,1.717947996450525
-0.00503325,-0.1888822599642741,1.724565691400298
-0.005032,-0.1835743420979807,1.730852501602582
-0.00503075,-0.1752807204319069,1.739455505037278
-0.0050295,-0.1696410576989741,1.744749660997093
-0.005028250000000001,-0.1626744154994689,1.752360010189327
-0.005027,-0.1550442835666775,1.759970359381561
-0.005025750000000001,-0.1490728759671044,1.767249823826304
-0.0050245,-0.1421062337675965,1.773536634028588
-0.00502325,-0.134144356968159,1.781808752715802
-0.005022,-0.1275094596352999,1.788095562918079
-0.00502075,-0.1202110725691493,1.795375027362829
-0.005019500000000001,-0.114903154702862,1.802654491807571
-0.00501825,-0.1069412779034275,1.810926610494782
-0.005017000000000001,-0.1003063805705655,1.817213420697063
-0.00501575,-0.09367148323770338,1.824823769889297
-0.005014500000000001,-0.08670484103820138,1.831441464839063
-0.00501325,-0.07940645397204993,1.8390518140313
-0.005012,-0.07376679123911324,1.845669508981073
-0.00501075,-0.06514142470639647,1.853279858173303
-0.0050095,-0.05817478250688873,1.861551976860518
-0.005008250000000001,-0.05253511977395854,1.868169671810283
-0.005007,-0.04390975324123784,1.876441790497495
-0.005005750000000001,-0.03495264184187405,1.88603744817466
