#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-08-30 13:09:02.656
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: -2 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -2 V

#2,4kHz
#raw
#
Time (s),Channel 1 (V),Channel 2 (V)
-0.005119615384615385,-0.3083104119557914,1.647800429982978
-0.005118365384615384,-0.3059881978892897,1.649785738467909
-0.005117115384615384,-0.3030024940895005,1.653094585942794
-0.005115865384615385,-0.300348535156357,1.655410779175212
-0.005114615384615384,-0.2996850454230707,1.656734318165166
-0.005113365384615385,-0.2963675967566397,1.659712280892562
-0.005112115384615384,-0.2937136378234949,1.662690243619958
-0.005110865384615385,-0.2920549134902801,1.663682897862423
-0.005109615384615384,-0.2884057199572052,1.667322630084796
-0.005108365384615384,-0.286083505890702,1.669307938569729
-0.005107115384615384,-0.2827660572242724,1.672616786044612
-0.005105865384615384,-0.2804438431577695,1.67526386402452
-0.005104615384615385,-0.2777898842246259,1.678241826751915
-0.005103365384615384,-0.2751359252914811,1.680888904731823
-0.005102115384615385,-0.2711549868917638,1.683205097964242
-0.005100865384615384,-0.2691645176919052,1.686183060691638
-0.005099615384615385,-0.2675057933586905,1.688499253924056
-0.005098365384615384,-0.2635248549589724,1.691808101398941
-0.005097115384615384,-0.2621978754923985,1.694124294631362
-0.005095865384615384,-0.258880426825969,1.69644048786378
-0.005094615384615384,-0.254567743559607,1.699749335338666
-0.005093365384615385,-0.2509185500265345,1.704712606550991
-0.005092115384615384,-0.245942377026888,1.709675877763317
-0.005090865384615385,-0.2429566732271014,1.713646494733177
-0.005089615384615384,-0.2383122450940966,1.716624457460575
-0.005088365384615385,-0.2359900310275959,1.719933304935458
-0.005087115384615384,-0.2336678169610931,1.721587728672902
-0.005085865384615384,-0.2313456028945899,1.724234806652811
-0.005084615384615384,-0.2280281542281603,1.727874538875182
-0.005083365384615384,-0.2257059401616586,1.730852501602578
-0.005082115384615385,-0.2223884914952276,1.733499579582486
-0.005080865384615384,-0.217412318495581,1.737470196552347
-0.005079615384615385,-0.2170805736289381,1.738462850794812
-0.005078365384615384,-0.2130996352292207,1.74110992877472
-0.005077115384615385,-0.2101139314294341,1.744418776249603
-0.005075865384615384,-0.2081234622295741,1.748058508471977
-0.005074615384615384,-0.2048060135631417,1.751036471199375
-0.005073365384615384,-0.2018203097633552,1.755337972916723
-0.005072115384615384,-0.1994980956968535,1.7559997424117
-0.005070865384615385,-0.1958489021637793,1.759308589886585
-0.005069615384615384,-0.1925314534973483,1.762617437361469
-0.005068365384615385,-0.1882187702309899,1.767249823826305
-0.005067115384615384,-0.1852330664312,1.771551325543657
-0.005065865384615384,-0.1832425972313397,1.773205749281101
-0.005064615384615384,-0.1795934036982672,1.776514596755984
-0.005063365384615384,-0.1776029344984072,1.779161674735892
-0.005062115384615385,-0.1746172306986207,1.781808752715799
-0.005060865384615384,-0.1696410576989741,1.784786715443195
-0.005059615384615385,-0.1669870987658293,1.789088217160545
-0.005058365384615384,-0.1643331398326845,1.791073525645476
-0.005057115384615385,-0.1610156911662549,1.796698566352776
-0.005055865384615384,-0.1576982424998224,1.799345644332687
-0.005054615384615384,-0.1543807938333885,1.801992722312597
-0.005053365384615384,-0.1480776413671724,1.808279532514875
-0.005052115384615384,-0.1440967029674535,1.81191926473725
-0.005050865384615385,-0.140447509434381,1.817213420697063
-0.005049615384615384,-0.1361348261680206,1.821184037666924
-0.005048365384615385,-0.1324856326349482,1.825154654636784
-0.005047115384615384,-0.1271777147686569,1.829125271606647
-0.005045865384615385,-0.1241920109688703,1.83243411908153
-0.005044615384615384,-0.1208745623024379,1.836404736051393
-0.005043365384615384,-0.1188840931025773,1.839051814031302
-0.005042115384615384,-0.1145714098362189,1.842691546253673
-0.005040865384615384,-0.1105904714365017,1.845669508981069
-0.005039615384615385,-0.1086000022366431,1.848647471708465
-0.005038365384615384,-0.1059460433034982,1.851625434435861
-0.005037115384615385,-0.1019651049037828,1.856588705648186
-0.005035865384615384,-0.09931114597063614,1.859235783628095
-0.005034615384615385,-0.09632544217084958,1.863206400597955
-0.005033365384615384,-0.09201275890448787,1.865853478577864
-0.005032115384615384,-0.08869531023805594,1.869493210800239
-0.005030865384615384,-0.08670484103819821,1.872471173527633
-0.005029615384615384,-0.08272390263848096,1.876441790497495
-0.005028365384615385,-0.07973819883869303,1.879750637972379
-0.005027115384615384,-0.07642075017226199,1.88173594645731
-0.005025865384615385,-0.07310330150583247,1.886037448174658
-0.005024615384615384,-0.06945410797275682,1.890338949892009
-0.005023365384615384,-0.06613665930632383,1.893316912619408
-0.005022115384615384,-0.06182397603996544,1.898611068579221
-0.005020865384615384,-0.05751129277360419,1.901919916054106
-0.005019615384615385,-0.05552082357374646,1.903243455044059
-0.005018365384615384,-0.05087639544074302,1.909530265246339
-0.005017115384615385,-0.04722720190766888,1.914162651711178
-0.005015865384615384,-0.04191928404137922,1.918133268681039
-0.005014615384615385,-0.03793834564166378,1.923427424640852
