#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-08-30 13:12:00.482
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -2 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2.5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -2 V

#2,4kHz
#raw
#
Time (s),Channel 1 (V),Channel 2 (V)
-0.005119699074074074,-1.52349185846948,0.2865405788155084
-0.005118449074074074,-1.511880788136971,0.2997759687150463
-0.005117199074074073,-1.500269717804457,0.3126804738671022
-0.005115949074074074,-1.487663412872025,0.3272394027565872
-0.005114699074074074,-1.476052342539516,0.3401439079086368
-0.005113449074074074,-1.463777782473721,0.3530484130606861
-0.005112199074074074,-1.451503222407927,0.3676073419501777
-0.005110949074074074,-1.439892152075423,0.3805118471022214
-0.005109699074074074,-1.426290612543051,0.3950707759917189
-0.005108449074074073,-1.413352562743964,0.4099605896287051
-0.005107199074074074,-1.401409747544818,0.423195979528237
-0.005105949074074074,-1.388139952879087,0.4374240236702468
-0.005104699074074074,-1.374538413346726,0.4523138373072202
-0.005103449074074074,-1.362927343014218,0.4652183424592695
-0.005102199074074074,-1.347335334281992,0.481762579833692
-0.005100949074074074,-1.334065539616268,0.4963215087231836
-0.005099699074074074,-1.321790979550479,0.5098877833702038
-0.005098449074074074,-1.308189440018106,0.52477759700719
-0.005097199074074073,-1.292929176152517,0.5399982953916652
-0.005095949074074074,-1.279327636620156,0.5548881090286386
-0.005094699074074074,-1.265062607354495,0.5697779226656257
-0.005093449074074074,-1.250465833222206,0.5849986210500873
-0.005092199074074074,-1.237196038556482,0.6005502041820443
-0.005090949074074074,-1.223926243890763,0.6147782483240412
-0.005089699074074074,-1.208997724891818,0.630660716203493
-0.005088449074074074,-1.193737461026242,0.6465431840829311
-0.005087199074074074,-1.179472431760582,0.6614329977199185
-0.005085949074074073,-1.164543912761635,0.6783081198418365
-0.005084699074074074,-1.149615393762702,0.6941905877212746
-0.005083449074074074,-1.135350364497049,0.7084186318632779
-0.005082199074074074,-1.118763121164894,0.7243010997427233
-0.005080949074074074,-1.103834602165954,0.7415071066121226
-0.005079699074074074,-1.090233062633593,0.7557351507541192
-0.005078449074074074,-1.074309309034718,0.772941157623525
-0.005077199074074074,-1.058385555435856,0.7891545102504516
-0.005075949074074074,-1.042793546703623,0.8050369781299043
-0.005074699074074073,-1.027865027704676,0.8215812155043347
-0.005073449074074074,-1.011609529239171,0.8391181071212144
-0.005072199074074074,-0.9973444999735176,0.8546696902531714
-0.005070949074074074,-0.9810890015080055,0.8702212733851282
-0.005069699074074074,-0.9648335030424935,0.8877581650020161
-0.005068449074074074,-0.9479145148437028,0.9052950566188958
-0.005067199074074074,-0.9336494855780417,0.9205157550033722
-0.005065949074074073,-0.9170622422458786,0.9377217618727794
-0.005064699074074074,-0.8998115091804452,0.9555895382371475
-0.005063449074074074,-0.8855464799147842,0.9701484671266477
-0.005062199074074074,-0.8689592365826365,0.9890088977334808
-0.005060949074074074,-0.8517085035171952,1.00621490460288
-0.005059699074074074,-0.8367799845182554,1.021766487734837
-0.005058449074074074,-0.8198609963194572,1.04029603359419
-0.005057199074074074,-0.8026102632540236,1.057502040463581
-0.005055949074074074,-0.7873499993884331,1.074046277838011
-0.005054699074074073,-0.7694357765896974,1.091583169454908
-0.005053449074074074,-0.751853298657621,1.110112715314252
-0.005052199074074074,-0.7369247796586732,1.125995183193706
-0.005050949074074074,-0.7190105568599537,1.144193844305562
-0.005049699074074074,-0.7020915686611554,1.162723390164915
-0.005048449074074074,-0.6858360701956507,1.179598512286818
-0.005047199074074074,-0.6705758063300605,1.196473634408737
-0.005045949074074074,-0.6519980937980552,1.215003180268081
-0.005044699074074074,-0.6337521261326761,1.23419449562242
-0.005043449074074073,-0.618491862267085,1.250407848249362
-0.005042199074074074,-0.6002458946017226,1.269268278856195
-0.005040949074074074,-0.5826634166696381,1.287136055220571
-0.005039699074074074,-0.5670714079374123,1.304011177342482
-0.005038449074074074,-0.5484936954053984,1.322209838454346
-0.005037199074074074,-0.529915982873393,1.342062923303644
-0.005035949074074074,-0.5153192087410881,1.357283621688122
-0.005034699074074074,-0.4970732410757257,1.376474937042443
-0.005033449074074074,-0.4794907631436329,1.39599713714427
-0.005032199074074073,-0.4622400300781833,1.413864913508655
-0.005030949074074074,-0.4443258072794639,1.433056228862976
-0.005029699074074074,-0.4260798396140932,1.450924005227352
-0.005028449074074074,-0.409492596281938,1.469122666339217
-0.005027199074074074,-0.3915783734832105,1.486990442703593
-0.005025949074074074,-0.3739958955511339,1.505850873310426
-0.005024699074074074,-0.3570769073523277,1.524711303917276
-0.005023449074074073,-0.3401579191535205,1.542579080281661
-0.005022199074074074,-0.3205849720215863,1.561439510888493
-0.005020949074074074,-0.3030024940894942,1.580630826242831
-0.005019699074074074,-0.2864152507573466,1.596513294122269
-0.005018449074074074,-0.2678375382253328,1.617359033214041
-0.005017199074074074,-0.2489280808266759,1.636219463820882
-0.005015949074074074,-0.2323408374945207,1.654418124932747
-0.005014699074074074,-0.2124361454959435,1.675263864024509
-0.005013449074074074,-0.1921997086307052,1.696771372611268
-0.005012199074074073,-0.176939444765113,1.712984725238212
-0.005010949074074074,-0.15637126303325,1.733830464329974
-0.005009699074074074,-0.1374618056345857,1.753683549179289
-0.005008449074074074,-0.121206307169081,1.77088955604868
-0.005007199074074074,-0.1036238292369965,1.791073525645476
-0.005005949074074074,-0.08471437183833959,1.809603071504828
-0.005004699074074074,-0.06845887337282751,1.827139963121716
-0.005003449074074074,-0.05253511977396579,1.843684200496131
-0.005002199074074074,-0.03263042777537233,1.86452993958791
-0.005000949074074073,-0.01405271524335097,1.884713909184713
-0.004999699074074074,0.002534528088796663,1.901258146559128
