#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-12-03 15:08:58.273
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 30 mV
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -2 V

#2,4kHz
#raw
#
Time (s),Channel 1 (V),Channel 2 (V)
-0.00512,-0.2359900310275948,-0.2761164770866767
-0.00511875,-0.2339995618277362,-0.2728076296117923
-0.0051175,-0.23134560289459,-0.2701605516318832
-0.00511625,-0.2283598990948034,-0.2668517041570002
-0.005115,-0.2233837260951569,-0.2615575481971851
-0.00511375,-0.2207297671620121,-0.2599031244597428
-0.0051125,-0.2177440633622241,-0.2556016227423931
-0.00511125,-0.2144266146957946,-0.2519618905200218
-0.00511,-0.2114409108960052,-0.2499765820350894
-0.00510875,-0.2087869519628582,-0.2460059650652257
-0.0051075,-0.2041425238298569,-0.2407118091054129
-0.00510625,-0.2001615854301385,-0.2380647311255043
-0.005105,-0.1975076264969948,-0.2357485378930863
-0.00510375,-0.1955171572971362,-0.2314470361757364
-0.0051025,-0.1912044740307758,-0.2274764192058751
-0.00510125,-0.1888822599642741,-0.2248293412259675
-0.0051,-0.1845695766979157,-0.2208587242561079
-0.00509875,-0.1822473626314121,-0.2182116462761986
-0.0050975,-0.1785981690983367,-0.214902798801312
-0.00509625,-0.1759442101651931,-0.2102704123364758
-0.005095,-0.1719632717654742,-0.2082851038515429
-0.00509375,-0.1683140782324017,-0.2033218326392185
-0.0050925,-0.1640013949660414,-0.1986894461743802
-0.00509125,-0.1606839462996118,-0.1953805986994973
-0.00509,-0.1586934770997517,-0.1933952902145651
-0.00508875,-0.156039518166608,-0.1887629037497289
-0.0050875,-0.1517268349002465,-0.1854540562748423
-0.00508625,-0.1480776413671709,-0.1818143240524676
-0.005085,-0.1447601927007413,-0.1778437070826081
-0.00508375,-0.1414427440343103,-0.1742039748602351
-0.0050825,-0.1364665710346638,-0.1695715883953969
-0.00508125,-0.1334808672348758,-0.1669245104154893
-0.00508,-0.1314903980350181,-0.1629538934456298
-0.00507875,-0.1271777147686569,-0.1586523917282782
-0.0050775,-0.1228650315022985,-0.1546817747584186
-0.00507625,-0.1195475828358655,-0.1517038120310208
-0.005075,-0.1165618790360763,-0.1487258493036231
